"","Doctor.Who.season","doctor.actor","ep..no","from","estimated.from","planet","sub.location","location"
"1","10","Tennant","xmas 2006","2007",NA,"Earth","England","London"
"2","1","Hartnell","1","1963",NA,"","n/a","n/a"
"3","1","Hartnell","21","-2500",4000,"Earth","","Egypt"
"4","3","Pertwee","64","1972",2900,"Earth/ Atlantis","",""
"5","1","Hartnell","20","-1200",3999,"Earth","","Asia Minor/Troy"
"6","1","Hartnell","12","64",2493,"Earth","Italy","Rome"
"7","10","Tennant","402","2009",NA,"Earth","Roman Empire","Pompeii"
"8","11","Smith","12","5145",NA,"Earth","England","to Stonehenge"
"9","1","Hartnell","17","1965",NA,"","UK","Northumbria"
"10","1","Hartnell","14","1200",1965,"Earth","","Palestine"
"11","3","Pertwee","70","1973",NA,"Earth","UK","Wessex Castle"
"12","1","Hartnell","4","-13,000,000,000",NA,"Earth","China","multiple"
"13","1","Hartnell","6","1454",1289,"Earth","Mexico",""
"14","1","Hartnell","22","1572",4000,"Earth","France","Paris"
"15","11","Smith","6","2010",NA,"Earth","","Leadworth to Venice"
"16","10","Tennant","302","2008",NA,"Earth","England","London"
"17","5","Davison","119","1666",2583,"Earth","England","London"
"18","1","Hartnell","28","1671",1966,"Earth","UK","Cornwall"
"19","11","Smith","3","1699",1970,"Earth","Earth and a parallel Earth","The Fancy (Ship)"
"20","10","Tennant","204","1727",NA,"Earth","France","Paris"
"21","2","Troughton","31","1746",1986,"Earth","UK","Culloden"
"22","2","Troughton","61","1969",NA,"Earth","Scotland","battle of Culloden"
"23","10","Tennant","204","1744",NA,"Earth","France","Versailles"
"24","10","Tennant","204","1753",NA,"Earth","France","Versailles"
"25","10","Tennant","204","1758",NA,"Earth","France","Versailles"
"26","1","Hartnell","8","2700",NA,"Earth","France","Paris"
"27","6","Colin Baker","139","1822",NA,"earth","England","Killingworth"
"28","10","Tennant","xmas 2008","2008",NA,"Earth","","London"
"29","9","Eccleston","159","1869",5e+09,"Earth","England","Cardiff"
"30","1","Hartnell","16","1966",NA,"Earth","","Atlantic Ocean"
"31","10","Tennant","202","2006",NA,"Earth","Scotland","Torchwood house, Near Balmoral"
"32","1","Hartnell","25","1881",10000700,"Earth","USA","tombstone, arizona"
"33","6","Colin Baker","141","1885",1985,"earth","England","Scotland"
"34","4","Baker","91","1889",1980,"Earth","England","London"
"35","2","Troughton","59","1969",NA,"Earth","",""
"36","4","Baker","82","1911",37166,"Earth","England","The site of UNIT HQ, years before it was built.  Currently, a priory."
"37","10","Tennant","308","1913",2008,"Earth","England","Farringham"
"38","1","Hartnell","21","1920",1965,"Earth","USA","Hollywood"
"39","10","Tennant","310","2007",NA,"Earth","England","Hull"
"40","5","Davison","120","1925",1666,"Earth","England","Cranleigh Halt"
"41","2","Troughton","45","1968",NA,"","","""the land of fiction"""
"42","10","Tennant","407","1926",2009,"Earth","Yorkshire","Harrogate"
"43","3","Pertwee","66","1972",NA,"Indian Ocean, Planet Inter Minor","Ocean, alien planet",""
"44","2","Troughton","38","1930",1966,"Earth","","Tibet"
"45","10","Tennant","304","1930",5000000053,"Earth","USA","Manhattan, New York"
"46","11","Smith","8","5100",NA,"Earth","Berlin","Germany"
"47","","Eccleston","164","2005",NA,"Earth","England","London"
"48","11","Smith","3","1941",3295,"Earth","England","London"
"49","11","Smith","12","1890",NA,"Earth","","France to London"
"50","7","McCoy","154","1943",1983,"Earth","England","Maiden's Point, Northumberland"
"51","10","Tennant","206","1953",2007,"Earth","England","London"
"52","1","Hartnell","9","1794",NA,"Earth","",""
"53","7","McCoy","148","1963",4687,"Earth","England","London"
"54","1","Hartnell","21","4000",NA,"Earth","UK","Liverpool"
"55","1","Hartnell","27","1966",1881,"Earth","UK","London"
"56","2","Troughton","35","1966",2070,"Earth","UK
","Gatwick Airport
Earth orbit"
"57","2","Troughton","36","1866",NA,"Earth","UK","London
Skaro"
"58","2","Troughton","42","1967",1970,"Earth","UK","North Sea"
"59","","Tennant","","2007",NA,"Earth","England","London"
"60","11","Smith","1","2011",NA,"Earth","England and USA","London to Utah"
"61","11","Smith","13","5100",NA,"Earth","Utah","Amercia"
"62","2","Troughton","41","1970",1930,"Earth","UK","London"
"63","2","Troughton","46","2000",NA,"Earth","UK","Just outside London"
"64","11","Smith","2","1969",NA,"Earth","USA","Utah to Cape Kennedy"
"65","3","Pertwee","59","1971",2472,"Earth","England","Devil's End, Wiltshire"
"66","3","Pertwee","64","-2000",NA,"Earth/ Atlantis","",""
"67","3","Pertwee","69","2540",NA,"Earth","UK","Llanfairfach, Wales"
"68","3","Pertwee","71","1200",NA,"Earth","UK","London"
"69","4","Baker","94","1977",5000,"Earth","England","Fetch Priory"
"70","4","Baker","105","-4E+12",NA,"Earth","France; Italy","Paris; Italy"
"71","4","Baker","unaired","1979",2116,"Earth","England","Cambridge"
"72","4","Baker","83","1980",1911,"Planet: Oseidon; also village of Devesham","England",""
"73","4","Baker","87","1980",1492,"Earth","England","Planet: Kastria; "
"74","5","Davison","116","-13700000000",NA,"????","","City of Castrovalva"
"75","5","Davison","122","-140000000",NA,"Earth","England","Heathrow"
"76","5","Davison","128","1214",NA,"earth","","England"
"77","5","Davison","123","1978",NA,"Gallifrey, Earth","",""
"78","5","Davison","125","-1017",NA,"earth","England","Brendon, London"
"79","5","Davison","131","1643",NA,"earth","England","Little Hodcombe"
"80","7","McCoy","153","1883",NA,"Earth","England","Gabriel's Chase, Perivale"
"81","5","Davison","133","1984",1e+07,"earth","England","London"
"82","1","Hartnell","29","1986",1671,"Earth","","South Pole"
"83","7","McCoy","155","1987",1943,"Earth","England","Perivale"
"84","9","Eccleston","163","2005",NA,"Earth","England","London"
"85","7","McCoy","150","1606",NA,"Earth","England",""
"86","3","Pertwee","51","1970",NA,"Earth","England","London and other"
"87","7","McCoy","152","793",NA,"Earth","England","Lake Vortigern"
"88","1","Hartnell","16","1872",NA,"Earth","Africa","Ghana"
"89","11","Smith","1","1999",NA,"Earth","England","London"
"90","11","Smith","13","2010",NA,"Earth","England","National Museum, London"
"91","8","McGann","-","1999",1987,"Earth","USA","San Francisco"
"92","9","Eccleston","157","1883",NA,"Earth","England","London "
"93","9","Eccleston","160","2006",1869,"Earth","England","London"
"94","9","Eccleston","165","2005",NA,"Earth","England","Cardiff"
"95","10","Tennant","203","2007",1879,"Earth","England","Deffry Vale"
"96","10","Tennant","205","2007",1764,"Earth","England","London (Parallel)"
"97","10","Tennant","306","2008",1930,"Earth","England","London"
"98","","Tennant","","2007",NA,"Earth","England","London"
"99","10","Tennant","312","100,000,000,000,000",NA,"Earth","England","Malcassairo and London"
"100","10","Tennant","313","2009",NA,"Earth","England","Alternative England and London"
"101","10","Tennant","411","2007",2700,"Earth","","London"
"102","11","Smith","1","1996",NA,"Earth","England","Leadworth"
"103","10","Tennant","405","2009",4126,"Earth","England","London"
"104","10","Tennant","Special","2009",1851,"Earth","","San Helios, London"
"105","10","Tennant","Special","2009",NA,"Earth","","London"
"106","11","Smith","1","2008",NA,"Earth","England","Leadworth"
"107","11","Smith","5","5000",NA,"Dundra System to Earth","","Alfava Metraxis to Leadworth"
"108","11","Smith","7","2015",NA,"Earth","","Leadworth"
"109","11","Smith","10","1890",NA,"Earth","France","Auvers-sur-Oise to Paris"
"110","11","Smith","12","102",NA,"Earth","England and Planet One","Stonehenge to Leadworth and Planet One"
"111","11","Smith","13","102",NA,"Earth","England","Stonehenge to Leadworth  "
"112","11","Smith","13","1996",NA,"Earth","England","Aickman Road, Colchester"
"113","11","Smith","Special","4300",NA,"Earth","USA",""
"114","9","Eccleston","161","2012",2006,"Earth","USA","Utah"
"115","10","Tennant","209","2012",NA,"Earth","England","London"
"116","11","Smith","8","2020",2010,"Earth","UK","Cwmtaff, Wales"
"117","5","Davison","130","2084",1982,"earth","",""
"118","3","Pertwee","60","1972",NA,"Earth","England","Auderly House and environs"
"119","11","Smith","5","2100",NA,"Earth","n/a","n/a"
"120","11","Smith","6","2100",NA,"Earth","n/a","n/a"
"121","7","McCoy","145","2110",1987,"Earth","",""
"122","1","Hartnell","10","1963",NA,"Earth","UK","London "
"123","2","Troughton","48","1970",NA,"Earth","UK","space museum, London; the moon"
"124","5","Davison","121","2486",NA,"Earth","",""
"125","6","Colin Baker","137","1985",NA,"earth","England","London"
"126","5","Davison","126","-13700000000",NA,"earth","","Terminus Station"
"127","1","Hartnell","19","3999",1066,"Earth","","Kembel"
"128","7","McCoy","146","1928",NA,"Earth","England","South Wales"
"129","11","Smith","13","2010",NA,"","","The Byzantium "
"130","11","Smith","12","2011",NA,"Earth","",""
