"","Doctor.Who.season","doctor.actor","ep..no","from","estimated.from","location","V1","????","Dundra System to Earth","earth","Earth","Earth and other planets","Earth/ Atlantis","Gallifrey, Earth","Indian Ocean, Planet Inter Minor","Planet: Oseidon; also village of Devesham","space"
"1","SEASON 1","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","5","Davison","125","-1017",NA,"Brendon, London",NA,NA,NA,"England",NA,NA,NA,NA,NA,NA,NA
"3","1","Hartnell","20","-1200",3999,"Asia Minor/Troy",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"4","1","Hartnell","4","-13,000,000,000",NA,"multiple",NA,NA,NA,NA,"China",NA,NA,NA,NA,NA,NA
"5","5","Davison","116","-13700000000",NA,"City of Castrovalva",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","5","Davison","126","-13700000000",NA,"Terminus Station",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"7","5","Davison","122","-140000000",NA,"Heathrow",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"8","3","Pertwee","64","-2000",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"9","1","Hartnell","21","-2500",4000,"Egypt",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"10","4","Baker","105","-4E+12",NA,"Paris; Italy",NA,NA,NA,NA,"France; Italy",NA,NA,NA,NA,NA,NA
"11","10","Tennant","312","100,000,000,000,000",NA,"Malcassairo and London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"12","11","Smith","12","102",NA,"Stonehenge to Leadworth and Planet One",NA,NA,NA,NA,"England and Planet One",NA,NA,NA,NA,NA,NA
"13","11","Smith","13","102",NA,"Stonehenge to Leadworth  ",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"14","1","Hartnell","14","1200",1965,"Palestine",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"15","3","Pertwee","71","1200",NA,"London",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"16","5","Davison","128","1214",NA,"England",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"17","1","Hartnell","6","1454",1289,"",NA,NA,NA,NA,"Mexico",NA,NA,NA,NA,NA,NA
"18","1","Hartnell","22","1572",4000,"Paris",NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA
"19","7","McCoy","150","1606",NA,"",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"20","5","Davison","131","1643",NA,"Little Hodcombe",NA,NA,NA,"England",NA,NA,NA,NA,NA,NA,NA
"21","5","Davison","119","1666",2583,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"22","1","Hartnell","28","1671",1966,"Cornwall",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"23","11","Smith","3","1699",1970,"The Fancy (Ship)",NA,NA,NA,NA,"Earth and a parallel Earth",NA,NA,NA,NA,NA,NA
"24","10","Tennant","204","1727",NA,"Paris",NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA
"25","10","Tennant","204","1744",NA,"Versailles",NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA
"26","2","Troughton","31","1746",1986,"Culloden",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"27","10","Tennant","204","1753",NA,"Versailles",NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA
"28","10","Tennant","204","1758",NA,"Versailles",NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA
"29","1","Hartnell","9","1794",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"30","6","Colin Baker","139","1822",NA,"Killingworth",NA,NA,NA,"England",NA,NA,NA,NA,NA,NA,NA
"31","2","Troughton","36","1866",NA,"London
Skaro",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"32","9","Eccleston","159","1869",5e+09,"Cardiff",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"33","1","Hartnell","16","1872",NA,"Ghana",NA,NA,NA,NA,"Africa",NA,NA,NA,NA,NA,NA
"34","1","Hartnell","25","1881",10000700,"tombstone, arizona",NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA
"35","7","McCoy","153","1883",NA,"Gabriel's Chase, Perivale",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"36","9","Eccleston","157","1883",NA,"London ",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"37","6","Colin Baker","141","1885",1985,"Scotland",NA,NA,NA,"England",NA,NA,NA,NA,NA,NA,NA
"38","4","Baker","91","1889",1980,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"39","11","Smith","12","1890",NA,"France to London",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"40","11","Smith","10","1890",NA,"Auvers-sur-Oise to Paris",NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA
"41","4","Baker","82","1911",37166,"The site of UNIT HQ, years before it was built.  Currently, a priory.",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"42","10","Tennant","308","1913",2008,"Farringham",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"43","1","Hartnell","21","1920",1965,"Hollywood",NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA
"44","5","Davison","120","1925",1666,"Cranleigh Halt",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"45","10","Tennant","407","1926",2009,"Harrogate",NA,NA,NA,NA,"Yorkshire",NA,NA,NA,NA,NA,NA
"46","7","McCoy","146","1928",NA,"South Wales",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"47","2","Troughton","38","1930",1966,"Tibet",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"48","10","Tennant","304","1930",5000000053,"Manhattan, New York",NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA
"49","11","Smith","Special","1938",NA,"",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"50","11","Smith","3","1941",3295,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"51","11","Smith","12","1941",NA,"London to Stormcage Containment Facility, The Royal Collection and The Maldovarium",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"52","7","McCoy","154","1943",1983,"Maiden's Point, Northumberland",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"53","10","Tennant","206","1953",2007,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"54","1","Hartnell","1","1963",NA,"n/a","n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","7","McCoy","148","1963",4687,"London",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"56","1","Hartnell","10","1963",NA,"London ",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"57","1","Hartnell","17","1965",NA,"Northumbria","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1","Hartnell","16","1966",NA,"Atlantic Ocean",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"59","1","Hartnell","27","1966",1881,"London",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"60","2","Troughton","35","1966",2070,"Gatwick Airport
Earth orbit",NA,NA,NA,NA,"UK
",NA,NA,NA,NA,NA,NA
